Time Since Start (5s)	InfluxDB					Grafana					Python				
	VIRT	RES	SHR	%CPU	%MEM	VIRT	RES	SHR	%CPU	%MEM	VIRT	RES	SHR	%CPU	%MEM
0	810712	104964	11260	5.7	11.1	917228	26284	15140	0	2.8	16800	13084	6300	0	1.4
1	810712	104964	11260	1.2	11.1	917228	26284	15140	0.2	2.8	16800	13084	6300	1.4	1.4
2	810712	104964	11260	3	11.1	917228	26284	15140	0.2	2.8	16800	13084	6300	1.2	1.4
3	810712	104964	11260	1.4	11.1	917228	26284	15140	0.4	2.8	16800	13084	6300	1.4	1.4
4	810712	104964	11260	2.8	11.1	917228	26284	15140	1.8	2.8	16800	13084	6300	1.2	1.4
5	810712	104964	11260	1.2	11.1	917228	26284	15140	2.8	2.8	16800	13084	6300	1.2	1.4
6	810712	104964	11260	7.3	11.1	917160	26344	15140	2.4	2.8	16800	13084	6300	1.2	1.4
7	810712	116056	11268	39.7	12.3	917160	26344	15140	3	2.8	16800	13084	6300	1.2	1.4
8	810712	134792	11268	103.6	14.3	917160	26864	15140	2.8	2.8	16800	13084	6300	1.6	1.4
9	810776	135056	11268	38.3	14.3	917160	27392	15140	1	2.9	16800	13084	6300	1.2	1.4
10	810776	135056	11268	20.5	14.3	917160	27392	15140	2.8	2.9	16800	13084	6300	1.4	1.4
11	810904	143164	11268	108.6	15.1	917160	27392	15140	2.2	2.9	16800	13084	6300	1.4	1.4
12	810968	143164	11268	23.4	15.1	917160	27392	15140	1.4	2.9	16800	13084	6300	1.2	1.4
13	810968	143428	11268	24.4	15.2	917160	27392	15140	2	2.9	16800	13084	6300	1.2	1.4
14	811032	143428	11268	8.9	15.2	917160	27392	15140	1.2	2.9	16800	13084	6300	1.4	1.4
15	811032	143428	11268	6.5	15.2	917160	27392	15140	1.4	2.9	16800	13084	6300	1	1.4
16	811032	143428	11268	3	15.2	917160	27392	15140	0.2	2.9	16800	13084	6300	1.2	1.4
17	811032	143428	11268	1.4	15.2	917160	27392	15140	0.2	2.9	16800	13084	6300	1.4	1.4
18	811032	143428	11268	3	15.2	917160	27392	15140	0.2	2.9	16800	13084	6300	1	1.4
19	811032	143428	11268	1.2	15.2	917160	27392	15140	0.4	2.9	16800	13084	6300	1.4	1.4
20	811032	143428	11268	3	15.2	917160	27392	15140	0.2	2.9	16800	13084	6300	1.4	1.4
21	811032	143428	11268	1.2	15.2	917160	27392	15140	0.4	2.9	16800	13084	6300	1.2	1.4
22	811032	143428	11268	3	15.2	917160	27392	15140	0.2	2.9	16800	13084	6300	1.4	1.4
23	811032	143428	11268	1.2	15.2	917160	27392	15140	0.4	2.9	16800	13084	6300	1.4	1.4
24	811032	143428	11268	3	15.2	917160	27392	15140	0.2	2.9	16800	13084	6300	1.2	1.4
25	811032	143428	11268	1.2	15.2	917160	27392	15140	0.2	2.9	16800	13084	6300	1	1.4
26	811032	143428	11268	3	15.2	917160	27392	15140	0.4	2.9	16800	13084	6300	1.2	1.4
