TIME+	InfluxDB					Grafana				
	VIRT	RES		%CPU	%MEM	VIRT	RES		%CPU	%MEM
50:05.1	810924	82036	11188	0	8.7	925480	26812	15212	0	2.8
50:05.1	810924	82036	11188	0.2	8.7	925480	26812	15212	0.2	2.8
50:05.2	810924	82036	11188	1	8.7	925480	26812	15212	0.2	2.8
50:05.2	810924	82036	11188	0.2	8.7	925480	26812	15212	0.4	2.8
50:05.3	810924	82036	11188	2	8.7	925480	26812	15212	0.2	2.8
50:05.3	810924	82036	11188	0.2	8.7	925480	26812	15212	0.2	2.8
50:05.4	810924	82036	11188	1.8	8.7	925480	26812	15212	0.4	2.8
50:05.4	810924	82036	11188	0.4	8.7	925480	26812	15212	1.6	2.8
50:06.6	810924	82036	11188	24.4	8.7	925480	26812	15212	0.4	2.8
50:06.6	810924	82036	11188	0.4	8.7	925480	26812	15212	0.2	2.8
50:06.7	810924	82036	11188	1.8	8.7	925480	26812	15212	0.4	2.8
50:06.7	810924	82036	11188	0.4	8.7	925480	26812	15212	0.2	2.8
50:06.8	810924	82036	11188	1.8	8.7	925480	26812	15212	0.4	2.8
50:06.8	810924	82036	11188	0.2	8.7	925480	26812	15212	0.2	2.8
50:07.0	810924	82036	11188	2.2	8.7	925480	26812	15212	0.4	2.8
50:07.0	810924	82036	11188	0.2	8.7	925480	26812	15212	0.2	2.8
50:07.1	810924	82036	11188	1.8	8.7	925480	26812	15212	0.4	2.8
50:07.1	810924	82036	11188	0.4	8.7	925480	26812	15212	0.2	2.8
50:07.2	810924	82036	11188	1.8	8.7	925480	26812	15212	0.4	2.8
50:07.2	810924	82036	11188	0.2	8.7	925480	26812	15212	0.2	2.8
50:07.3	810924	82036	11188	1.8	8.7	925480	26812	15212	0.4	2.8
50:07.3	810924	82036	11188	0.4	8.7	925480	26812	15212	0.2	2.8
50:07.4	810924	82036	11188	1.8	8.7	925480	26812	15212	0.2	2.8
50:07.4	810924	82036	11188	0.2	8.7	925480	26812	15212	0.4	2.8
50:07.5	810924	82036	11188	2	8.7	925480	26812	15212	0.2	2.8
50:07.5	810924	82036	11188	0.2	8.7	925480	26812	15212	0.2	2.8
50:07.6	810924	82036	11188	2	8.7	925480	26812	15212	0.4	2.8
50:07.6	810924	82036	11188	0.2	8.7	925480	26812	15212	0.2	2.8
50:07.7	810924	82036	11188	2	8.7	925480	26812	15212	0.4	2.8
50:07.7	810924	82036	11188	0.2	8.7	925480	26812	15212	0.2	2.8
50:07.8	810924	82036	11188	1.8	8.7	925480	26812	15212	0.4	2.8
50:07.8	810924	82036	11188	0.2	8.7	925480	26812	15212	1.6	2.8
50:09.0	810924	82036	11188	23.6	8.7	925480	26812	15212	0.4	2.8
50:09.0	810924	82036	11188	0.4	8.7	925480	26812	15212	0.4	2.8
50:09.1	810924	82036	11188	1.8	8.7	925480	26812	15212	0.2	2.8
50:09.1	810924	82036	11188	0.2	8.7	925480	26812	15212	0.4	2.8
50:09.2	810924	82036	11188	2	8.7	925480	26812	15212	0.2	2.8
50:09.2	810924	82036	11188	0.2	8.7	925480	26812	15212	0.2	2.8
50:09.3	810924	82036	11188	1.8	8.7	925480	26812	15212	0.4	2.8
50:09.3	810924	82036	11188	0.4	8.7	925480	26812	15212	0.2	2.8
50:09.4	810924	82036	11188	1.8	8.7	925480	26812	15212	0.4	2.8
50:09.4	810924	82036	11188	0.2	8.7	925480	26812	15212	0.2	2.8
50:09.5	810924	82036	11188	1.8	8.7	925480	26812	15212	0.2	2.8
50:09.6	810924	79804	11188	0.4	8.4	925480	26812	15212	0.4	2.8
50:09.7	810924	79804	11188	1.8	8.4	925480	26812	15212	0.2	2.8
50:09.7	810924	79804	11188	0.2	8.4	925480	26812	15212	0.4	2.8
50:09.7	810924	79804	11188	1.8	8.4	925480	26812	15212	0.2	2.8
50:09.8	810924	79804	11188	0.6	8.4	925480	26812	15212	0.2	2.8
50:09.9	810924	79804	11188	1.8	8.4	925480	26812	15212	0.4	2.8
50:10.0	810924	79804	11188	1.8	8.4	925480	26812	15212	0.4	2.8
50:10.0	810924	79804	11188	0.2	8.4	925480	26812	15212	0.2	2.8
50:10.1	810924	79804	11188	1.8	8.4	925480	26812	15212	0.4	2.8
50:10.1	810924	79804	11188	0.4	8.4	925480	26812	15212	0.2	2.8
50:10.2	810924	79804	11188	1.8	8.4	925480	26812	15212	0.4	2.8
50:10.2	810924	79804	11188	0.2	8.4	925480	26812	15212	0.2	2.8
50:10.3	810924	79804	11188	1.8	8.4	925480	26812	15212	1.8	2.8
50:11.4	810924	79804	11188	23.2	8.4	925480	26812	15212	0.2	2.8
50:11.5	810924	79804	11188	2	8.4	925480	26812	15212	0.4	2.8
50:11.5	810924	79804	11188	0.2	8.4	925480	26812	15212	0.2	2.8
50:11.7	810924	79804	11188	2	8.4	925480	26812	15212	0.2	2.8
50:11.7	810924	79804	11188	0.2	8.4	925480	26812	15212	0.4	2.8
50:11.7	810924	79804	11188	1.8	8.4	925480	26812	15212	0.2	2.8
50:11.8	810924	79804	11188	0.4	8.4	925480	26812	15212	0.2	2.8
50:11.9	810924	79804	11188	1.8	8.4	925480	26812	15212	0.4	2.8
50:11.9	810924	79804	11188	0.2	8.4	925480	26812	15212	0.2	2.8
50:12.0	810924	79804	11188	1.8	8.4	925480	26620	15212	0.4	2.8
50:12.0	810924	79804	11188	0.4	8.4	925480	26620	15212	0.2	2.8
50:12.1	810924	79804	11188	1.8	8.4	925480	26620	15212	0.2	2.8
50:12.1	810924	79804	11188	0.4	8.4	925480	26620	15212	0.4	2.8
50:12.2	810924	79804	11188	1.8	8.4	925480	26620	15212	0.2	2.8
50:12.2	810924	79804	11188	0.2	8.4	925480	26620	15212	0.2	2.8
50:12.3	810924	79804	11188	1.8	8.4	925480	26620	15212	0.4	2.8
50:12.3	810924	79804	11188	0.2	8.4	925480	26620	15212	0.2	2.8
50:12.4	810924	74040	11188	2	7.8	925480	26620	15212	0.4	2.8
50:12.4	810924	74040	11188	0.4	7.8	925480	26620	15212	0.4	2.8
50:12.5	810924	74040	11188	1.8	7.8	925480	26620	15212	0.4	2.8
50:12.5	810924	74040	11188	0.4	7.8	925480	26620	15212	0.2	2.8
50:12.6	810924	74040	11188	1.8	7.8	925480	26620	15212	0.4	2.8
50:12.6	810924	74040	11188	0.2	7.8	925480	26620	15212	0.2	2.8
50:12.7	810924	74040	11188	2	7.8	925480	26620	15212	1.8	2.8
50:13.6	810924	74040	11188	17.9	7.8	925480	26620	15212	0.2	2.8
50:13.7	810924	74040	11188	1.8	7.8	925480	26620	15212	0.4	2.8
50:13.7	810924	74040	11188	0.2	7.8	925480	26620	15212	0.2	2.8
50:13.8	810924	74040	11188	2	7.8	925480	26620	15212	0.4	2.8
50:13.8	810924	74040	11188	0.2	7.8	925480	26620	15212	0.2	2.8
50:13.9	810924	74040	11188	2	7.8	925480	26620	15212	0.4	2.8
50:13.9	810924	74040	11188	0.2	7.8	925480	26620	15212	0.2	2.8
50:14.0	810924	74040	11188	1.8	7.8	925480	26620	15212	0.2	2.8
50:14.0	810924	74040	11188	0.2	7.8	925480	26620	15212	0.4	2.8
50:14.1	810924	74040	11188	2	7.8	925480	26620	15212	0.2	2.8
50:14.1	810924	74040	11188	0.2	7.8	925480	26620	15212	0.4	2.8
50:14.2	810924	74040	11188	1.8	7.8	925480	26620	15212	0.2	2.8
50:14.3	810924	74040	11188	0.4	7.8	925480	26620	15212	0.4	2.8
50:14.3	810924	74040	11188	1.8	7.8	925480	26620	15212	2.6	2.8
50:14.4	810924	74040	11188	0.2	7.8	925480	26620	15212	0.2	2.8
50:14.4	810924	74040	11188	1.8	7.8	925480	26620	15212	0.2	2.8
50:14.5	810924	74040	11188	0.4	7.8	925480	26620	15212	0.4	2.8
50:14.6	810924	74040	11188	1.8	7.8	925480	26620	15212	0.2	2.8
50:14.6	810924	74040	11188	0.2	7.8	925480	26620	15212	0.4	2.8
50:14.7	810924	74040	11188	2	7.8	925480	26620	15212	0.2	2.8
50:14.7	810924	74040	11188	0.2	7.8	925480	26620	15212	0.4	2.8
50:14.8	810924	74040	11188	1.8	7.8	925480	26620	15212	0.2	2.8
50:14.8	810924	74040	11188	0.4	7.8	925480	26884	15212	0.4	2.8
50:14.9	810924	74040	11188	1.8	7.8	925480	26884	15212	1.6	2.8
50:15.9	810924	74040	11188	19.8	7.8	925480	26884	15212	0.4	2.8
