Time Since Start (5s)	InfluxDB					Grafana					Python				
	VIRT	RES	SHR	%CPU	%MEM	VIRT	RES	SHR	%CPU	%MEM	VIRT	RES	SHR	%CPU	%MEM
0	824424	50824	10056	0	5.4	900836	26852	14756	0	2.8	16812	13016	6220	0	1.4
1	824424	50824	10056	3	5.4	900836	26852	14756	0.4	2.8	16812	13016	6220	1.2	1.4
2	824424	50824	10056	1	5.4	900836	26852	14756	0.2	2.8	16812	13016	6220	1.4	1.4
3	824424	51836	10444	15.9	5.5	900836	26852	14756	1.4	2.8	16812	13016	6220	1.2	1.4
4	824424	57696	10848	75.6	6.1	900836	26852	14756	1.4	2.8	16812	13016	6220	1.6	1.4
5	824424	57696	10848	3	6.1	900836	26852	14756	0.4	2.8	16812	13016	6220	1.6	1.4
6	824424	67560	10988	165.9	7.1	900836	26852	14756	1.4	2.8	16812	13016	6220	1.6	1.4
7	824424	68084	10988	9.5	7.2	900836	26852	14756	2.8	2.8	16812	13016	6220	1.6	1.4
8	824424	69396	10988	3.8	7.3	900836	26852	14756	1	2.8	16812	13016	6220	1.6	1.4
9	824424	72392	11116	162.9	7.7	900836	26852	14756	1.6	2.8	16812	13016	6220	1.6	1.4
10	824424	73712	11116	69.7	7.8	900836	26852	14756	0.8	2.8	16812	13016	6220	1.6	1.4
11	824424	73712	11116	1	7.8	900836	26852	14756	0.4	2.8	16812	13016	6220	1.2	1.4
12	824424	74080	11236	3	7.8	900836	26852	14756	0.2	2.8	16812	13016	6220	1.6	1.4
13	824424	74080	11236	183.6	7.8	900836	26852	14756	1.6	2.8	16812	13016	6220	1.6	1.4
14	824424	74080	11236	46.6	7.8	900836	26852	14756	0.4	2.8	16812	13016	6220	1.6	1.4
15	824424	74080	11236	1	7.8	900836	27080	14760	4.4	2.9	16812	13016	6220	1.6	1.4
16	824424	74344	11240	61.6	7.9	900836	27080	14760	2.8	2.9	16812	13016	6220	1.2	1.4
17	824424	74344	11240	200.8	7.9	900836	27080	14760	1.2	2.9	16812	13016	6220	1.8	1.4
18	824424	74964	11360	154.9	7.9	900836	27080	14760	1.6	2.9	16812	13016	6220	1.6	1.4
19	824424	74964	11360	84.6	7.9	900836	27080	14760	3.4	2.9	16812	13016	6220	1.6	1.4
20	824424	74964	11360	2.6	7.9	900836	27080	14760	0.8	2.9	16812	13016	6220	1.4	1.4
21	824424	74964	11360	1	7.9	900836	27080	14760	1	2.9	16812	13016	6220	1.6	1.4
22	824424	74964	11360	2.6	7.9	900836	27080	14760	0.2	2.9	16812	13016	6220	1.2	1.4
23	824424	74964	11360	1	7.9	900836	27080	14760	0.8	2.9	16812	13016	6220	1.4	1.4
24	824424	74964	11360	124.7	7.9	900836	27080	14760	1.6	2.9	16812	13016	6220	1.6	1.4
25	824424	76812	11360	113.1	8.1	900836	27080	14760	1	2.9	16812	13016	6220	1.4	1.4
26	824424	76812	11360	2.8	8.1	900836	27944	14760	18.9	3	16812	13016	6220	1.2	1.4
27	824424	76812	11360	0.8	8.1	900836	27944	14760	14.9	3	16812	13016	6220	1	1.4
28	824424	76812	11360	3.2	8.1	900836	27944	14760	0.8	3	16812	13016	6220	1.6	1.4
29	824424	76812	11360	0.8	8.1	900836	27944	14760	1.8	3	16812	13016	6220	1.6	1.4
30	824424	77068	11360	3	8.2	900836	27944	14760	2.8	3	16812	13016	6220	1.4	1.4
31	824424	77068	11360	1	8.2	900836	27944	14760	0.4	3	16812	13016	6220	1.6	1.4
32	824424	77860	11360	2.8	8.2	900836	27944	14760	0.6	3	16812	13016	6220	1.4	1.4
33	824424	77860	11360	1	8.2	900836	27944	14760	0.4	3	16812	13016	6220	1.4	1.4
34	824424	79180	11360	8.5	8.4	900836	27944	14760	1	3	16812	13016	6220	1.6	1.4
35	824424	79180	11360	1	8.4	900836	27944	14760	0.2	3	16812	13016	6220	1.6	1.4
36	824424	79180	11360	3	8.4	900836	27944	14760	1.2	3	16812	13016	6220	1.6	1.4
37	824424	79180	11360	1	8.4	900836	27944	14760	0.6	3	16812	13016	6220	1.6	1.4
