Time Since Start (5s)	InfluxDB					Grafana					Python				
	VIRT	RES	SHR	%CPU	%MEM	VIRT	RES	SHR	%CPU	%MEM	VIRT	RES	SHR	%CPU	%MEM
0	818648	111744	11560	0	11.8	917152	25628	14948	0	2.7	16812	13284	6488	0	1.4
1	818648	111744	11560	1	11.8	917152	25628	14948	0.2	2.7	16812	13284	6488	1.6	1.4
2	818648	111744	11560	2.8	11.8	917152	25628	14948	1.8	2.7	16812	13284	6488	1.4	1.4
3	818648	111744	11560	1.4	11.8	917152	25628	14948	0.2	2.7	16812	13284	6488	1.4	1.4
4	818648	111744	11560	2.8	11.8	917152	25628	14948	0.4	2.7	16812	13284	6488	1.6	1.4
5	818648	111744	11560	1	11.8	917152	25628	14948	0.2	2.7	16812	13284	6488	1.4	1.4
6	818648	111744	11560	3	11.8	917152	25628	14948	0.2	2.7	16812	13284	6488	1.6	1.4
7	818648	111744	11560	1	11.8	917152	25628	14948	0.4	2.7	16812	13284	6488	1.6	1.4
8	818648	111744	11560	2.8	11.8	917152	25628	14948	0.2	2.7	16812	13284	6488	1.4	1.4
9	818648	111744	11560	7.5	11.8	917152	25628	14948	0.2	2.7	16812	13284	6488	1.4	1.4
10	818648	111744	11560	2.8	11.8	917152	25628	14948	0.4	2.7	16812	13284	6488	1.4	1.4
11	818648	111744	11560	1	11.8	917152	25628	14948	0.2	2.7	16812	13284	6488	1.6	1.4
12	818648	111744	11560	3.2	11.8	917152	25628	14948	0.4	2.7	16812	13284	6488	1.4	1.4
13	818648	111744	11560	0.8	11.8	917152	25628	14948	0.2	2.7	16812	13284	6488	1.2	1.4
14	818648	111744	11560	3	11.8	917152	25628	14948	0.4	2.7	16812	13284	6488	1.6	1.4
15	818648	111744	11560	1	11.8	917152	25628	14948	0.2	2.7	16812	13284	6488	1.6	1.4
16	818648	111744	11560	8.1	11.8	917152	25628	14948	0.4	2.7	16812	13284	6488	1.6	1.4
17	818648	111744	11560	1	11.8	917152	25628	14948	0.2	2.7	16812	13284	6488	1.4	1.4
18	818648	111744	11560	2.8	11.8	917152	25628	14948	0.2	2.7	16812	13284	6488	1.2	1.4
19	818648	111744	11560	1	11.8	917152	25628	14948	0.4	2.7	16812	13284	6488	1.6	1.4
20	818648	111744	11560	3	11.8	917152	25628	14948	0.2	2.7	16812	13284	6488	1.4	1.4
21	818648	111744	11560	1	11.8	917152	25628	14948	0.2	2.7	16812	13284	6488	1.6	1.4
22	818648	111744	11560	3	11.8	917152	25628	14948	0.4	2.7	16812	13284	6488	1.6	1.4
23	818648	111744	11560	1	11.8	917152	25628	14948	0.4	2.7	16812	13284	6488	1.4	1.4
24	818648	111744	11560	3	11.8	917152	25628	14948	0.2	2.7	16812	13284	6488	1.4	1.4
25	818648	111744	11560	8.3	11.8	917152	25628	14948	0.2	2.7	16812	13284	6488	1.4	1.4
26	818648	111744	11560	3.2	11.8	917152	25628	14948	1.8	2.7	16812	13284	6488	1.6	1.4
