1413741615 utime cmd  I(cA)    SOC   stat  on mea bal  tr  yr  mo  dy  hr  mn sc   ti
1413741615 mins   0  -32768    0     0    0  0   0    0  10   0   0   0   0  0  -32768
1413741615 maxs  99   32768  100     5    1  1   1   99  20  12  31  24  59  59  32768
1413741615 attr  H     I      I     L    L  L   L    N   N   N   N   N   N   N    I
1413741616 2125 99 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1413741617 3127 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741618 4129 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741619 5131 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741620 6132 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741621 7137 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741622 8142 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741623 9145 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741624 10147 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741625 11150 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741626 12154 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741627 13159 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741628 14162 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741629 15167 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741630 16171 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741631 17173 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741632 18178 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741633 19183 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741634 20184 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741635 21185 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741636 22187 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741637 23195 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741638 24198 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741639 25202 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741640 26203 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741641 27206 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741642 28210 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741643 29211 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741644 30212 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
