1413741615 utime AM_vel(rpm) AM_supV(dV) AM_supI(dA) AM_bpT(dC)  AM_amT(dC) AM_motT(dC) AM_SOC AM_thr AM_rgn
1413741615 mins   0      0    -37624        0     0      0       0       0       0  
1413741615 maxs   0     37624  37624     37624 37624  37624    37624  37624  37624 
1413741615 attr   N        N      N        N      N     N       N       N       N  
1413741616 2125 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741617 3127 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741618 4129 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741619 5131 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741620 6132 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741621 7137 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741622 8142 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741623 9145 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741624 10147 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741625 11150 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741626 12154 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741627 13159 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741628 14162 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741629 15167 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741630 16171 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741631 17173 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741632 18178 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741633 19183 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741634 20184 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741635 21185 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741636 22187 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741637 23195 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741638 24198 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741639 25202 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741640 26203 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741641 27206 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741642 28210 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741643 29211 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741644 30212 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741645 31218 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741646 32222 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741647 33226 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741648 34232 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741649 35235 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741650 36237 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741651 37239 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741652 38243 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741653 39246 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741654 40249 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741655 41253 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741656 42259 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741657 43264 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741658 44272 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741659 45273 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741660 46275 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
