1413741615 utime UTC_GPS Lat Long Alt Track  GS FIX MagV Date
1413741615 mins    0      0    0    0   0     0  0   0    0 
1413741615 maxs    0      0    0    0   0     0  0   0    0 
1413741615 attr    N      S    S    N   N     N  N   U    N 
1413741616 2125 1413741620 NANA NANA NAM 0.00 0.00K 180020.745V0 NAN 191014
1413741617 3127 1413741621 NANA NANA NAM 0.00 0.00K 180021.745V0 NAN 191014
1413741618 4129 1413741622 NANA NANA NAM 0.00 0.00K 180022.745V0 NAN 191014
1413741619 5131 1413741623 NANA NANA NAM 0.00 0.00K 180023.745V0 NAN 191014
1413741620 6132 1413741624 NANA NANA NAM 0.00 0.00K 180024.745V0 NAN 191014
1413741621 7137 1413741625 NANA NANA NAM 0.00 0.00K 180025.745V0 NAN 191014
1413741622 8142 1413741626 NANA NANA NAM 0.00 0.00K 180026.745V0 NAN 191014
1413741623 9145 1413741627 NANA NANA NAM 0.00 0.00K 180027.745V0 NAN 191014
1413741624 10147 1413741628 NANA NANA NAM 0.00 0.00K 180028.745V0 NAN 191014
1413741625 11150 1413741629 NANA NANA NAM 0.00 0.00K 180029.745V0 NAN 191014
1413741626 12154 1413741630 NANA NANA NAM 0.00 0.00K 180030.745V0 NAN 191014
1413741627 13159 1413741630 NANA NANA NAM 0.00 0.00K 180030.745V0 NAN 191014
1413741628 14162 1413741631 NANA NANA NAM 0.00 0.00K 180031.745V0 NAN 191014
1413741629 15167 1413741632 NANA NANA NAM 0.00 0.00K 180032.745V0 NAN 191014
1413741630 16171 1413741633 NANA NANA NAM 0.00 0.00K 180033.745V0 NAN 191014
1413741631 17173 1413741634 NANA NANA NAM 0.00 0.00K 180034.745V0 NAN 191014
1413741632 18178 1413741635 NANA NANA NAM 0.00 0.00K 180035.745V0 NAN 191014
1413741633 19183 1413741636 NANA NANA NAM 0.00 0.00K 180036.745V0 NAN 191014
1413741634 20184 1413741637 NANA NANA NAM 0.00 0.00K 180037.745V0 NAN 191014
1413741635 21185 1413741638 NANA NANA NAM 0.00 0.00K 180038.745V0 NAN 191014
1413741636 22187 1413741639 NANA NANA NAM 0.00 0.00K 180039.745V0 NAN 191014
1413741637 23195 1413741640 NANA NANA NAM 0.00 0.00K 180040.745V0 NAN 191014
1413741638 24198 1413741641 NANA NANA NAM 0.00 0.00K 180041.745V0 NAN 191014
1413741639 25202 1413741642 NANA NANA NAM 0.00 0.00K 180042.745V0 NAN 191014
1413741640 26203 1413741643 NANA NANA NAM 0.00 0.00K 180043.745V0 NAN 191014
1413741641 27206 1413741644 NANA NANA NAM 0.00 0.00K 180044.745V0 NAN 191014
1413741642 28210 1413741645 NANA NANA NAM 0.00 0.00K 180045.745V0 NAN 191014
1413741643 29211 1413741646 NANA NANA NAM 0.00 0.00K 180046.745V0 NAN 191014
1413741644 30212 1413741648 NANA NANA NAM 0.00 0.00K 180048.745V0 NAN 191014
1413741645 31218 1413741649 NANA NANA NAM 0.00 0.00K 180049.745V0 NAN 191014
1413741646 32222 1413741650 NANA NANA NAM 0.00 0.00K 180050.745V0 NAN 191014
1413741647 33226 1413741651 NANA NANA NAM 0.00 0.00K 180051.745V0 NAN 191014
1413741648 34232 1413741652 NANA NANA NAM 0.00 0.00K 180052.745V0 NAN 191014
1413741649 35235 1413741653 NANA NANA NAM 0.00 0.00K 180053.745V0 NAN 191014
1413741650 36237 1413741654 NANA NANA NAM 0.00 0.00K 180054.745V0 NAN 191014
1413741651 37239 1413741655 NANA NANA NAM 0.00 0.00K 180055.745V0 NAN 191014
1413741652 38243 1413741656 NANA NANA NAM 0.00 0.00K 180056.745V0 NAN 191014
1413741653 39246 1413741657 NANA NANA NAM 0.00 0.00K 180057.745V0 NAN 191014
1413741654 40249 1413741658 NANA NANA NAM 0.00 0.00K 180058.745V0 NAN 191014
1413741655 41253 1413741659 NANA NANA NAM 0.00 0.00K 180059.745V0 NAN 191014
1413741656 42259 1413741660 NANA NANA NAM 0.00 0.00K 180100.745V0 NAN 191014
1413741657 43264 1413741661 NANA NANA NAM 0.00 0.00K 180101.745V0 NAN 191014
1413741658 44272 1413741662 NANA NANA NAM 0.00 0.00K 180102.745V0 NAN 191014
1413741659 45273 1413741663 NANA NANA NAM 0.00 0.00K 180103.745V0 NAN 191014
1413741660 46275 1413741664 NANA NANA NAM 0.00 0.00K 180104.745V0 NAN 191014
1413741661 47280 1413741665 NANA NANA NAM 0.00 0.00K 180105.745V0 NAN 191014
1413741662 48281 1413741666 NANA NANA NAM 0.00 0.00K 180106.745V0 NAN 191014
1413741663 49284 1413741667 NANA NANA NAM 0.00 0.00K 180107.745V0 NAN 191014
1413741664 50286 1413741668 NANA NANA NAM 0.00 0.00K 180108.745V0 NAN 191014
1413741665 51288 1413741669 NANA NANA NAM 0.00 0.00K 180109.745V0 NAN 191014
1413741666 52295 1413741670 NANA NANA NAM 0.00 0.00K 180110.745V0 NAN 191014
1413741667 53300 1413741671 NANA NANA NAM 0.00 0.00K 180111.745V0 NAN 191014
1413741668 54304 1413741672 NANA NANA NAM 0.00 0.00K 180112.745V0 NAN 191014
1413741669 55309 1413741673 NANA NANA NAM 0.00 0.00K 180113.745V0 NAN 191014
1413741670 56314 1413741674 NANA NANA NAM 0.00 0.00K 180114.745V0 NAN 191014
1413741671 57322 1413741675 NANA NANA NAM 0.00 0.00K 180115.745V0 NAN 191014
1413741672 58330 1413741675 NANA NANA NAM 0.00 0.00K 180115.745V0 NAN 191014
1413741673 59335 1413741676 NANA NANA NAM 0.00 0.00K 180116.745V0 NAN 191014
1413741674 60341 1413741677 NANA NANA NAM 0.00 0.00K 180117.745V0 NAN 191014
1413741675 61347 1413741678 NANA NANA NAM 0.00 0.00K 180118.745V0 NAN 191014
1413741676 62353 1413741679 NANA NANA NAM 0.00 0.00K 180119.745V0 NAN 191014
1413741677 63356 1413741680 NANA NANA NAM 0.00 0.00K 180120.745V0 NAN 191014
1413741678 64357 1413741681 NANA NANA NAM 0.00 0.00K 180121.745V0 NAN 191014
1413741679 65364 1413741682 NANA NANA NAM 0.00 0.00K 180122.745V0 NAN 191014
1413741680 66365 1413741683 NANA NANA NAM 0.00 0.00K 180123.745V0 NAN 191014
1413741681 67368 1413741685 NANA NANA NAM 0.00 0.00K 180125.745V0 NAN 191014
1413741682 68376 1413741686 NANA NANA NAM 0.00 0.00K 180126.745V0 NAN 191014
1413741683 69384 1413741687 NANA NANA NAM 0.00 0.00K 180127.745V0 NAN 191014
1413741684 70385 1413741688 NANA NANA NAM 0.00 0.00K 180128.745V0 NAN 191014
1413741685 71392 1413741689 NANA NANA NAM 0.00 0.00K 180129.745V0 NAN 191014
1413741686 72393 1413741690 NANA NANA NAM 0.00 0.00K 180130.745V0 NAN 191014
1413741687 73400 1413741691 NANA NANA NAM 0.00 0.00K 180131.745V0 NAN 191014
1413741688 74408 1413741692 NANA NANA NAM 0.00 0.00K 180132.745V0 NAN 191014
1413741689 75417 1413741693 NANA NANA NAM 0.00 0.00K 180133.745V0 NAN 191014
1413741690 76426 1413741694 NANA NANA NAM 0.00 0.00K 180134.745V0 NAN 191014
1413741691 77432 1413741695 NANA NANA NAM 0.00 0.00K 180135.745V0 NAN 191014
1413741692 78438 1413741696 NANA NANA NAM 0.00 0.00K 180136.745V0 NAN 191014
1413741693 79445 1413741697 NANA NANA NAM 0.00 0.00K 180137.745V0 NAN 191014
1413741694 80446 1413741698 NANA NANA NAM 0.00 0.00K 180138.745V0 NAN 191014
1413741695 81449 1413741699 NANA NANA NAM 0.00 0.00K 180139.745V0 NAN 191014
1413741696 82456 1413741700 NANA NANA NAM 0.00 0.00K 180140.745V0 NAN 191014
1413741697 83464 1413741701 NANA NANA NAM 0.00 0.00K 180141.745V0 NAN 191014
1413741698 84467 1413741702 NANA NANA NAM 0.00 0.00K 180142.745V0 NAN 191014
1413741699 85473 1413741703 NANA NANA NAM 0.00 0.00K 180143.745V0 NAN 191014
1413741700 86477 1413741704 NANA NANA NAM 0.00 0.00K 180144.745V0 NAN 191014
1413741701 87481 1413741705 NANA NANA NAM 0.00 0.00K 180145.745V0 NAN 191014
1413741702 88483 1413741706 NANA NANA NAM 0.00 0.00K 180146.745V0 NAN 191014
1413741703 89485 1413741707 NANA NANA NAM 0.00 0.00K 180147.745V0 NAN 191014
1413741704 90489 1413741708 NANA NANA NAM 0.00 0.00K 180148.745V0 NAN 191014
1413741705 91490 1413741709 NANA NANA NAM 0.00 0.00K 180149.745V0 NAN 191014
1413741706 92493 1413741710 NANA NANA NAM 0.00 0.00K 180150.745V0 NAN 191014
1413741707 93496 1413741711 NANA NANA NAM 0.00 0.00K 180151.745V0 NAN 191014
1413741708 94498 1413741712 NANA NANA NAM 0.00 0.00K 180152.745V0 NAN 191014
1413741709 95500 1413741713 NANA NANA NAM 0.00 0.00K 180153.745V0 NAN 191014
1413741710 96502 1413741714 NANA NANA NAM 0.00 0.00K 180154.745V0 NAN 191014
1413741711 97509 1413741715 NANA NANA NAM 0.00 0.00K 180155.745V0 NAN 191014
1413741712 98513 1413741716 NANA NANA NAM 0.00 0.00K 180156.745V0 NAN 191014
1413741713 99517 1413741717 NANA NANA NAM 0.00 0.00K 180157.745V0 NAN 191014
1413741714 100522 1413741718 NANA NANA NAM 0.00 0.00K 180158.745V0 NAN 191014
1413741715 101523 1413741719 NANA NANA NAM 0.00 0.00K 180159.745V0 NAN 191014
1413741716 102529 1413741720 NANA NANA NAM 0.00 0.00K 180200.745V0 NAN 191014
1413741717 103532 1413741720 NANA NANA NAM 0.00 0.00K 180200.745V0 NAN 191014
1413741718 104537 1413741722 NANA NANA NAM 0.00 0.00K 180202.745V0 NAN 191014
1413741719 105542 1413741723 NANA NANA NAM 0.00 0.00K 180203.745V0 NAN 191014
1413741720 106543 1413741724 NANA NANA NAM 0.00 0.00K 180204.745V0 NAN 191014
1413741721 107546 1413741725 NANA NANA NAM 0.00 0.00K 180205.745V0 NAN 191014
1413741722 108547 1413741726 NANA NANA NAM 0.00 0.00K 180206.745V0 NAN 191014
1413741723 109551 1413741727 NANA NANA NAM 0.00 0.00K 180207.745V0 NAN 191014
1413741724 110556 1413741728 NANA NANA NAM 0.00 0.00K 180208.745V0 NAN 191014
1413741725 111559 1413741729 NANA NANA NAM 0.00 0.00K 180209.745V0 NAN 191014
1413741726 112566 1413741730 NANA NANA NAM 0.00 0.00K 180210.745V0 NAN 191014
1413741727 113574 1413741731 NANA NANA NAM 0.00 0.00K 180211.745V0 NAN 191014
1413741728 114578 1413741732 NANA NANA NAM 0.00 0.00K 180212.745V0 NAN 191014
1413741729 115584 1413741733 NANA NANA NAM 0.00 0.00K 180213.745V0 NAN 191014
