1413747310 utime T(cK) I(cA) V(mV) V_sup(mV) Stat T(cK) I(cA) V(mV) V_sup(mV) Stat
1413747310 mins   0      0     0     0        0     0     0    0      0        0  
1413747310 maxs  32768   32768  32768  32768 32768 32768 32768 32768  32768  32768
1413747310 attr  N        N      N       N     N     N     N     N    N       N 
1413747310 2782 0 0 0 0 0 0 0 0 0 0
1413747311 3785 29970 -107 11250 0 1 29970 -108 8250 77 1
1413747312 4790 30015 -107 11250 0 1 29970 -108 8250 77 1
1413747313 5792 30015 -101 11255 0 1 29970 -102 8260 77 1
1413747314 6797 30015 -99 11260 0 1 29970 -99 8265 77 1
1413747315 7798 29970 -99 11260 0 1 29970 -99 8265 77 1
1413747316 8801 29970 -99 11260 0 1 29970 -99 8260 77 1
1413747317 9807 30015 175 11730 23925 1 30015 178 9765 24156 1
1413747318 10811 30015 122 11740 23936 4 30015 125 10145 24167 2
1413747319 11813 30015 89 11735 23936 4 30015 91 10420 24167 2
1413747320 12818 30015 109 11755 23760 1 30015 140 10650 23980 3
1413747321 13819 29970 110 11800 23595 1 30015 112 11075 23925 3
1413747322 14824 30015 104 11815 23595 1 30015 104 11435 23925 3
1413747323 15827 30015 104 11840 23595 1 30015 104 11540 23914 3
1413747324 16832 29970 103 11865 23595 1 30015 104 11625 23914 3
1413747325 17835 29970 104 11900 23595 1 30015 104 11715 23914 3
1413747326 18839 30015 103 11945 23595 1 30015 104 11775 23914 3
1413747327 19844 30015 103 11990 23595 1 30015 104 11820 23914 3
1413747328 20847 30015 103 12055 23595 1 30015 104 11860 23914 3
1413747329 21850 30015 103 12175 23584 1 30015 104 11895 23914 3
1413747330 22853 30015 103 12510 23573 1 30015 104 11945 23914 3
1413747331 23857 30015 103 12595 23573 1 30015 104 11995 23914 3
1413747332 24862 30015 103 12620 23573 1 30015 104 12060 23914 3
1413747333 25866 30015 103 12640 23573 1 30015 103 12150 23903 3
1413747334 26872 30015 103 12670 23573 1 30015 103 12385 23903 3
1413747335 27877 30015 103 12710 23573 1 30015 103 12605 23903 3
1413747336 28882 30015 103 12745 23573 1 30015 103 12635 23903 3
1413747337 29887 30015 103 12775 23573 1 30015 103 12650 23903 3
1413747338 30891 30015 101 12795 23573 1 30015 103 12670 23903 3
1413747339 31936 30015 103 12810 23573 1 30015 103 12680 23903 3
1413747340 32938 30015 103 12830 23573 1 30015 103 12715 23903 3
1413747341 33946 30015 103 12845 23573 1 30015 103 12735 23903 3
1413747342 34952 30015 103 12850 23573 1 30015 103 12765 23903 3
1413747343 35963 30015 103 12860 23573 1 30015 103 12790 23903 3
1413747345 37387 30015 103 12860 23573 1 30015 103 12790 23903 3
1413747346 38393 30015 101 12875 23562 1 30015 103 12840 23903 3
1413747347 39396 30015 101 12880 23573 1 30015 103 12860 23903 3
1413747348 40399 30015 103 12885 23573 1 30015 103 12875 23903 3
1413747349 41406 30015 103 12890 23573 1 30060 103 12885 23903 3
1413747350 42410 30015 101 12890 23573 1 30015 103 12900 23903 3
1413747351 43414 30015 103 12895 23573 1 30015 103 12910 23903 3
1413747352 44417 30015 101 12900 23573 1 30060 103 12920 23903 3
1413747353 45420 30015 103 12905 23573 1 30015 103 12930 23903 3
1413747354 46427 30015 101 12905 23573 1 30060 103 12935 23903 3
1413747355 47428 30015 101 12910 23573 1 30060 103 12945 23903 3
1413747356 48431 30015 101 12915 23562 1 30015 103 12950 23903 3
1413747357 49438 30015 101 12915 23562 1 30015 103 12960 23903 3
1413747358 50449 30015 101 12920 23573 1 30060 103 12960 23903 3
1413747359 51457 30015 103 12920 23573 1 30015 103 12970 23903 3
1413747360 52460 30015 101 12925 23562 1 30060 103 12975 23903 3
1413747361 53462 30015 101 12925 23562 1 30060 103 12980 23903 3
1413747362 54467 30015 101 12925 23562 1 30015 103 12985 23903 3
1413747363 55473 30015 103 12930 23573 1 30060 103 12985 23903 3
1413747364 56475 30015 101 12930 23562 1 30060 103 12990 23903 3
1413747365 57482 30015 101 12935 23573 1 30015 103 12995 23903 3
1413747366 58486 30015 101 12935 23562 1 30060 103 12995 23903 3
1413747367 59492 30015 101 12940 23562 1 30015 103 13000 23903 3
1413747368 60497 30015 101 12940 23562 1 30015 103 13005 23903 3
1413747369 61507 30015 101 12940 23562 1 30060 103 13005 23903 3
1413747370 62508 30015 103 12945 23562 1 30060 103 13010 23903 3
1413747371 63518 30015 101 12945 23562 1 30015 103 13010 23903 3
1413747372 64522 30015 101 12945 23562 1 30060 103 13015 23892 3
1413747373 65529 30015 101 12950 23562 1 30060 103 13020 23903 3
1413747374 66534 30015 101 12950 23562 1 30060 103 13020 23903 3
1413747375 67541 30015 101 12950 23562 1 30060 103 13025 23892 3
1413747376 68549 30015 101 12955 23562 1 30060 103 13025 23892 3
1413747377 69553 30015 101 12955 23562 1 30060 103 13030 23903 3
1413747378 70559 30015 101 12955 23562 1 30060 103 13030 23903 3
1413747379 71563 30015 101 12960 23562 1 30060 103 13035 23903 3
1413747380 72570 30015 101 12960 23562 1 30015 103 13035 23903 3
1413747381 73577 30015 101 12960 23562 1 30060 103 13035 23903 3
1413747382 74579 30015 101 12960 23562 1 30015 103 13040 23892 3
1413747383 75582 30015 101 12965 23573 1 30060 103 13040 23892 3
1413747384 76586 30015 101 12965 23562 1 30060 103 13045 23892 3
1413747385 77588 30015 101 12965 23562 1 30015 103 13045 23892 3
1413747386 78591 30015 101 12970 23562 1 30060 103 13050 23892 3
1413747387 79592 30015 101 12970 23562 1 30060 103 13050 23903 3
1413747388 80595 30015 101 12970 23562 1 30060 103 13050 23892 3
1413747389 81597 30015 101 12970 23562 1 30060 103 13055 23892 3
1413747390 82599 30015 101 12975 23562 1 30060 103 13055 23892 3
1413747391 83605 30015 101 12975 23562 1 30060 103 13055 23903 3
1413747392 84612 30015 101 12975 23562 1 30060 103 13060 23903 3
1413747393 85620 30015 101 12980 23562 1 30060 103 13060 23892 3
1413747394 86625 30015 101 12980 23562 1 30060 103 13065 23892 3
1413747395 87629 30015 101 12980 23562 1 30015 103 13065 23903 3
1413747396 88636 30015 101 12985 23562 1 30060 103 13070 23892 3
1413747397 89637 30015 101 12985 23562 1 30060 103 13070 23903 3
1413747398 90643 30015 101 12985 23562 1 30060 103 13070 23892 3
1413747399 91655 30015 101 12985 23562 1 30060 103 13070 23892 3
1413747400 92657 30015 101 12985 23562 1 30060 103 13075 23892 3
1413747401 93660 30015 101 12990 23562 1 30060 103 13075 23903 3
1413747402 94670 30015 103 12990 23562 1 30060 103 13075 23892 3
1413747403 95672 30015 101 12990 23562 1 30060 103 13080 23892 3
1413747404 96679 30015 101 12990 23562 1 30060 103 13080 23892 3
1413747405 97683 30015 103 12995 23562 1 30060 103 13080 23892 3
1413747406 98688 30015 101 12995 23562 1 30060 103 13085 23892 3
1413747407 99697 30015 101 12995 23562 1 30060 103 13085 23892 3
1413747408 100702 30015 101 12995 23562 1 30060 103 13085 23892 3
1413747409 101709 30015 101 13000 23562 1 30060 103 13085 23892 3
1413747410 102721 30015 101 13000 23562 1 30060 103 13090 23892 3
1413747411 103725 30015 101 13000 23562 1 30060 103 13090 23892 3
1413747412 104729 30015 101 13000 23562 1 30060 103 13090 23892 3
1413747413 105730 30015 101 13000 23562 1 30060 103 13095 23892 3
1413747414 106731 30015 101 13005 23562 1 30060 103 13095 23892 3
1413747415 107737 30015 101 13005 23562 1 30060 103 13095 23892 3
1413747416 108741 30015 101 13005 23562 1 30060 103 13100 23892 3
1413747417 109748 30015 101 13005 23562 1 30060 103 13100 23892 3
1413747418 110751 30015 101 13010 23562 1 30060 103 13100 23892 3
1413747419 111752 30015 101 13010 23562 1 30060 103 13100 23892 3
1413747420 112754 30015 101 13010 23562 1 30060 103 13105 23892 3
1413747421 113758 30015 103 13010 23562 1 30060 103 13105 23892 3
1413747422 114765 30015 101 13010 23562 1 30060 103 13105 23892 3
1413747423 115772 30015 101 13015 23562 1 30060 103 13110 23892 3
1413747424 116779 30015 101 13015 23562 1 30060 103 13110 23892 3
1413747425 117783 30015 101 13015 23562 1 30060 103 13110 23903 3
1413747426 118788 30015 101 13015 23562 1 30060 103 13110 23892 3
1413747427 119794 30015 101 13015 23562 1 30060 103 13110 23892 3
1413747428 120797 30015 101 13015 23562 1 30060 103 13115 23892 3
1413747429 121798 30015 101 13020 23562 1 30060 103 13115 23892 3
1413747430 122806 30015 101 13020 23562 1 30060 103 13115 23892 3
1413747431 123808 30015 101 13020 23562 1 30060 103 13120 23892 3
1413747432 124809 30015 101 13020 23562 1 30060 103 13120 23892 3
1413747433 125815 30015 101 13025 23562 1 30060 103 13120 23892 3
1413747434 126822 30015 101 13025 23562 1 30060 103 13120 23892 3
1413747435 127829 30015 101 13025 23562 1 30060 103 13120 23892 3
