1413747310 utime volts24 volts12 gappos gapmotor BSChKill MotCont MotPreC ArrCont ArrPreC GapD1 GapIN1 GapIN2 ArrayA ArrayB ArrayC Estop Thren
1413747310 mins    0      0       0      -2        0        0      0       0       0      0     0     0      0      0      0      0     0
1413747310 maxs   100    100    100      +2        1        1      1       1       1      1     1     1      1      1      1      1     1
1413747310 attr    N       N      N       N        L        L      L       L       L      L     L     L      L      L      L      L     L
1413747310 2782 0 0 0 -1 0 0 0 0 0 0 0 1 0 0 0 0 0
1413747311 3785 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1
1413747312 4790 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1
1413747313 5792 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1
1413747314 6797 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1
1413747315 7798 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1
1413747316 8801 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1
1413747317 9807 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1
1413747318 10811 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1
1413747319 11813 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747320 12818 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747321 13819 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747322 14824 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747323 15827 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747324 16832 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747325 17835 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747326 18839 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747327 19844 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747328 20847 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747329 21850 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747330 22853 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747331 23857 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747332 24862 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747333 25866 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747334 26872 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747335 27877 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747336 28882 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747337 29887 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747338 30891 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747339 31936 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747340 32938 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747341 33946 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747342 34952 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747343 35963 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747345 37387 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747346 38393 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747347 39396 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747348 40399 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747349 41406 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747350 42410 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747351 43414 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747352 44417 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747353 45420 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747354 46427 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747355 47428 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747356 48431 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747357 49438 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747358 50449 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747359 51457 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747360 52460 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747361 53462 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747362 54467 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747363 55473 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747364 56475 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747365 57482 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747366 58486 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747367 59492 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747368 60497 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747369 61507 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747370 62508 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747371 63518 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747372 64522 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747373 65529 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747374 66534 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747375 67541 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747376 68549 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747377 69553 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747378 70559 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747379 71563 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747380 72570 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747381 73577 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747382 74579 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747383 75582 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747384 76586 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747385 77588 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747386 78591 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747387 79592 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747388 80595 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747389 81597 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747390 82599 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747391 83605 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747392 84612 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747393 85620 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747394 86625 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747395 87629 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747396 88636 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747397 89637 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747398 90643 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747399 91655 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747400 92657 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747401 93660 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747402 94670 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747403 95672 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747404 96679 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
