1413747310 utime  bx(uT) by(uT) bz(uT)  B(uT) ax    ay  az     A     gx   gy    gz   T(C) rate  track tilt roll
1413747310 mins  -1000 -1000 -1000     0    -2000 -2000 -2000  0   -2000  -2000 -2000 -2000  0  0  -180 -180
1413747310 maxs   1000  1000  1000    1000   2000  2000  2000 2000  2000   2000  2000  2000  37000 360 180 180
1413747310 attr     F     F     F      F      F     F    F     F     F      F     F     F     I F F F
1413747310 2782 6.22324 4.64832 0.366972 7.77626 -1.4649 -0.112177 0.541091 1.56566 0.394203 0.672464 2.62263e+64 4.14 0 0 0 0
1413747311 3785 37.824 28.5162 2.65111 47.4432 -8.7864 -0.561246 3.27743 9.39454 1.74866 5.07714 9.51467e+48 41.3878 12 0 0 0
1413747312 4790 37.94 28.1758 1.947 47.2981 -8.74405 -0.690964 3.24398 9.35197 3.01507 4.95157 3.07769e+34 41.449 12 0 0 0
1413747313 5792 37.7455 27.9032 2.41236 47.0013 -8.78253 -0.602482 3.31301 9.40595 2.93751 4.68139 8.29614e+19 41.3809 13 0 0 0
1413747314 6797 38.0771 28.1608 2.39095 47.4196 -8.7737 -0.652835 3.26311 9.3836 2.77847 4.64415 268352 41.4061 12 0 0 0
1413747315 7798 38.1479 28.569 2.40405 47.7204 -8.78106 -0.616933 3.27882 9.39353 2.52611 3.66226 -1.01419 41.4679 12 0 0 0
1413747316 8801 37.9987 28.4391 2.43172 47.5246 -8.74693 -0.626202 3.21718 9.34083 2.6195 4.72802 -1.20528 41.4828 12 0 0 0
1413747317 9807 37.6688 29.3402 1.77782 47.7802 -8.77002 -0.638351 3.28657 9.38735 2.27463 5.90592 -0.512072 41.4783 12 0 0 0
1413747318 10811 38.5227 28.7171 1.19782 48.0636 -8.7586 -0.62545 3.27944 9.37331 1.24726 4.18175 -1.466 41.5918 12 0 0 0
1413747319 11813 34.3562 27.8464 -0.582855 44.228 -8.78103 -0.625016 3.30593 9.40353 2.56482 5.4591 -0.103658 41.5273 13 0 0 0
1413747320 12818 34.7956 28.7084 -0.48554 45.1126 -8.76283 -0.703813 3.30856 9.39304 2.24481 4.91143 -0.161409 41.4537 13 0 0 0
1413747321 13819 34.8864 27.597 -0.236314 44.4828 -8.76248 -0.636496 3.28977 9.3813 2.23659 5.45256 -1.57571 41.5324 11 0 0 0
1413747322 14824 34.8217 28.2031 0.314929 44.8115 -8.7338 -0.666776 3.31026 9.36385 1.33427 5.18621 -0.442876 41.3856 11 0 0 0
1413747323 15827 34.6803 27.6344 0.161843 44.3442 -8.74692 -0.64741 3.27476 9.36225 1.85993 4.21837 -1.04155 41.4919 12 0 0 0
1413747324 16832 33.5283 26.3752 -0.641364 42.6639 -8.76513 -0.61277 3.21972 9.35787 1.79098 2.99386 -1.26246 41.6023 12 0 0 0
1413747325 17835 33.6292 26.3279 -0.337818 42.7106 -8.77151 -0.655815 3.26324 9.38181 2.73808 4.85486 -1.00097 41.5336 13 0 0 0
1413747326 18839 33.262 26.9883 -0.638814 42.8385 -8.75137 -0.664121 3.29232 9.37373 2.49371 5.12724 0.0499031 41.7085 12 0 0 0
1413747327 19844 33.4601 26.626 -0.574487 42.7651 -8.73829 -0.629966 3.23728 9.33994 2.85765 5.08868 -1.89758 41.5564 13 0 0 0
1413747328 20847 33.2688 26.895 -0.382937 42.782 -8.75868 -0.637019 3.29995 9.38137 1.90329 3.70584 -1.29981 41.7271 12 0 0 0
1413747329 21850 33.4035 26.8291 -0.397964 42.8457 -8.7721 -0.641429 3.25795 9.37952 2.69613 4.56797 -0.914704 41.5624 12 0 0 0
1413747330 22853 33.3915 26.8904 -0.828116 42.8809 -8.75675 -0.640124 3.25631 9.3645 1.10506 4.42837 -1.61101 41.5832 12 0 0 0
1413747331 23857 32.8421 26.7366 -0.479165 42.3518 -8.7899 -0.648646 3.25716 9.39639 1.5559 4.92507 -1.94041 41.705 12 0 0 0
1413747332 24862 33.1624 26.291 -0.51865 42.323 -8.77433 -0.630042 3.3121 9.39978 2.59525 4.97034 -0.631633 41.5319 11 0 0 0
1413747333 25866 33.2305 26.988 -0.70492 42.8149 -8.76754 -0.62811 3.28204 9.38275 2.32858 4.73322 -0.7073 41.5866 12 0 0 0
1413747334 26872 32.9407 26.4419 -0.86879 42.2495 -8.7628 -0.633398 3.29042 9.38161 3.27196 4.23974 -1.4935 41.5809 12 0 0 0
1413747335 27877 33.6435 26.6076 -0.750165 42.9 -8.75598 -0.625476 3.28237 9.37189 3.25598 3.9852 -1.27047 41.7513 12 0 0 0
1413747336 28882 33.3683 26.7007 -0.657663 42.7411 -8.7438 -0.628412 3.32543 9.37589 2.76847 4.60678 -1.09503 41.7626 12 0 0 0
1413747337 29887 33.6774 26.4278 -0.729674 42.8151 -8.75332 -0.647007 3.28861 9.37306 2.71804 4.71177 -0.879923 41.7425 12 0 0 0
1413747338 30891 33.0449 27.0045 -0.642188 42.6805 -8.74516 -0.661905 3.24592 9.35158 3.54957 5.95628 -1.12081 41.7267 11 0 0 0
1413747339 31936 32.6882 26.1918 -0.444721 41.8895 -8.76795 -0.674591 3.29029 9.38925 2.14462 5.74838 -2.11262 41.69 9 0 0 0
1413747340 32938 33.4726 27.3433 -0.881497 43.2302 -8.75925 -0.642329 3.26716 9.37077 1.83206 4.50075 -1.07205 41.7501 8 0 0 0
1413747341 33946 33.4719 26.6933 -0.748888 42.8189 -8.75352 -0.627199 3.27 9.36538 1.72525 6.29139 -0.565254 41.7938 8 0 0 0
1413747342 34952 33.4681 26.871 -0.557263 42.9241 -8.74856 -0.670823 3.29393 9.37215 2.07844 4.78046 -1.56784 41.8396 7 0 0 0
1413747343 35963 33.0341 26.2709 -0.795804 42.2143 -8.72741 -0.660735 3.27721 9.34582 1.84901 4.69206 -1.16688 41.6882 6 0 0 0
1413747345 37387 32.9719 26.2655 -0.816075 42.1626 -8.73774 -0.656192 3.2787 9.35567 2.422 4.71005 -1.50573 41.7127 8 0 0 0
1413747346 38393 32.9262 26.4003 -1.13737 42.2185 -8.75515 -0.642089 3.26886 9.36752 2.97528 6.00664 -2.198 41.7873 7 0 0 0
1413747347 39396 32.7065 26.3531 -1.41216 42.0262 -8.76752 -0.641236 3.25781 9.37518 2.45235 5.79056 -1.02901 41.9027 8 0 0 0
1413747348 40399 32.7345 26.2628 -1.14831 41.9834 -8.75127 -0.659622 3.24823 9.35793 2.09057 4.96239 -1.23769 41.8109 8 0 0 0
1413747349 41406 33.0515 26.188 -0.90332 42.1785 -8.76985 -0.652716 3.27446 9.38394 2.7046 5.54501 -1.93767 41.9074 8 0 0 0
1413747350 42410 33.1894 26.0959 -1.20681 42.2373 -8.75372 -0.636076 3.2527 9.36014 2.15087 3.79761 -0.722384 41.8967 8 0 0 0
1413747351 43414 33.3836 26.8818 -1.09645 42.8754 -8.74092 -0.639713 3.27409 9.35588 2.64379 5.24926 -1.08629 42.0186 9 0 0 0
1413747352 44417 33.6431 26.5351 -1.14266 42.8635 -8.75538 -0.667014 3.28877 9.37644 2.84217 4.80295 -0.473202 41.909 7 0 0 0
1413747353 45420 32.6435 26.2522 -0.70382 41.896 -8.76695 -0.655817 3.27263 9.38081 2.29338 4.36458 -1.88691 41.9208 8 0 0 0
1413747354 46427 32.8455 26.134 -1.18449 41.9907 -8.77188 -0.637511 3.2712 9.38366 2.36658 5.01747 -0.955535 41.9969 8 0 0 0
1413747355 47428 32.5992 25.7935 -1.15656 41.5855 -8.78838 -0.642235 3.27382 9.40032 0.763339 3.64563 -2.29885 41.982 8 0 0 0
1413747356 48431 32.4301 25.9343 -1.40594 41.5485 -8.75538 -0.639984 3.286 9.37358 2.60653 5.94921 -1.46832 41.9172 8 0 0 0
