1413747310 utime Stat TireWrn TLF  TRF  TRT  TSP  T5  PrLF PrRF PrRT PrSP Pr5 SNLF SNRF SNRT SNSP SN5 lowBatt low12T low25T Ssn act msW CT ACKA EET
1413747310 mins   0     0      0   0   0   0   0    0   0   0   0   0   0   0   0   0   0    0      0       0    0    0   0   0  0    0
1413747310 maxs  256   256   256 256 256 256 256 256  256 256 256 256 256 256 256 256 256  256    256     256  256 256  256 256 256 256
1413747310 attr   H      N     N   N   N   N   N   N    N   N   N   N   N   N   N   N   N    N       N      N    N    N   N   N   N   N
1413747310 2782 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1413747311 3785 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1413747312 4790 192 0 0 0 0 0 0 0 0 0 0 0 16711680 405955 408536 393216 0 0 0 0 0 0 0 0 0 0
1413747313 5792 192 0 0 0 0 0 0 0 0 0 0 0 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747314 6797 192 0 0 0 0 0 0 0 0 0 0 0 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747315 7798 192 0 0 0 0 0 0 0 0 0 0 0 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747316 8801 192 0 0 0 0 0 0 0 0 0 0 0 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747317 9807 192 0 0 0 0 0 0 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747318 10811 192 0 0 0 0 0 0 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747319 11813 192 0 0 0 0 0 0 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747320 12818 192 0 0 0 0 0 0 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747321 13819 192 0 0 0 0 0 0 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747322 14824 192 0 0 0 0 0 0 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747323 15827 192 0 0 0 0 0 0 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747324 16832 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747325 17835 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747326 18839 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747327 19844 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747328 20847 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747329 21850 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747330 22853 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747331 23857 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747332 24862 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747333 25866 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747334 26872 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747335 27877 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747336 28882 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747337 29887 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747338 30891 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747339 31936 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
1413747340 32938 192 0 3 3 3 3 3 250 250 250 250 251 16711680 405955 408536 426968 0 0 0 0 0 0 0 0 0 0
