1413747310 utime BVLR1 OVT1 NOC1 UNDV1 Vin1 Vout1 Iin1 Tamb1 BVLR2 OVT2 NOC2 UNDV2 Vin2 Vout2 Iin2 Tamb2 BVLR3 OVT3 NOC3 UNDV3  Vin3  Vout3 Iin3 Tamb3
1413747310 mins    0    0    0    0     0     0    0     0     0    0    0    0     0     0    0     0     0    0    0    0     0     0      0     0
1413747310 maxs    1    1    1    1    1000  1000 1000  100    1    1    1    1    1000  1000 1000  100    1    1    1    1    1000  1000 1000   100
1413747310 attr    L    L    L    L     I     I    I     I     L    L    L    L     I     I    I     I     L    L    L    L     I     I      I     I
1413747310 2782 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1413747311 3785 0 1 1 1 629 627 2 25 0 0 1 1 407 567 388 121 0 1 1 1 469 621 0 25
1413747312 4790 0 1 1 1 629 627 2 25 0 0 1 1 407 567 388 121 0 1 1 1 469 621 0 25
1413747313 5792 0 1 1 1 629 627 2 25 0 0 1 1 407 567 388 121 0 1 1 1 469 621 0 25
1413747314 6797 0 1 1 1 629 627 2 25 0 0 1 1 407 567 388 121 0 1 1 1 469 621 0 25
1413747315 7798 0 1 1 1 629 627 2 25 0 0 1 1 407 567 388 121 0 1 1 1 469 621 0 25
1413747316 8801 0 1 1 1 629 627 2 25 0 0 1 1 407 567 388 121 0 1 1 1 469 621 0 25
1413747317 9807 0 1 1 1 629 627 2 25 0 0 1 1 407 567 388 121 0 1 1 1 469 621 0 25
1413747318 10811 0 1 1 1 629 627 2 25 0 0 1 1 407 567 388 121 0 1 1 1 469 621 0 25
1413747319 11813 0 1 1 1 629 627 2 25 0 0 1 1 407 567 388 121 0 1 1 1 469 621 0 25
1413747320 12818 0 1 1 0 612 586 1 25 0 1 1 0 453 582 50 30 0 1 1 0 455 581 5 25
1413747321 13819 0 1 1 0 611 586 1 30 0 1 1 0 445 583 95 30 0 1 1 0 443 582 92 25
1413747322 14824 0 1 0 0 610 586 2 25 0 1 0 0 458 582 0 25 0 1 0 0 457 583 1 30
1413747323 15827 0 1 0 0 610 586 2 25 0 1 0 0 457 582 1 30 0 1 0 0 455 581 0 25
1413747324 16832 0 0 0 0 489 586 267 30 0 0 0 0 375 585 277 25 0 0 0 0 339 583 238 30
1413747325 17835 0 0 0 0 466 588 274 25 0 0 0 0 386 584 262 30 0 0 0 0 326 583 244 30
1413747326 18839 0 0 0 0 482 587 262 25 0 0 0 0 360 584 276 30 0 0 0 0 324 583 241 25
1413747327 19844 0 0 0 0 482 587 257 25 0 0 0 0 372 584 265 25 0 0 0 0 343 582 229 30
1413747328 20847 0 0 0 0 495 587 246 25 0 0 0 0 375 584 257 30 0 0 0 0 338 583 227 30
1413747329 21850 0 0 0 0 494 586 245 25 0 0 0 0 386 584 244 25 0 0 0 0 329 582 233 30
1413747330 22853 0 0 0 0 518 587 235 25 0 0 0 0 383 585 245 30 0 0 0 0 385 583 197 30
1413747331 23857 0 0 0 0 519 586 233 25 0 0 0 0 371 584 257 25 0 0 0 0 374 582 208 25
1413747332 24862 0 0 0 0 527 587 228 25 0 0 0 0 369 584 258 25 0 0 0 0 369 584 210 30
1413747333 25866 0 0 0 0 513 587 236 30 0 0 0 0 356 584 263 30 0 0 0 0 358 583 214 30
1413747334 26872 0 0 0 0 519 587 234 25 0 0 0 0 384 584 245 25 0 0 0 0 356 584 214 25
1413747335 27877 0 0 0 0 526 587 230 30 0 0 0 0 371 584 257 30 0 0 0 0 366 582 211 30
1413747336 28882 0 0 0 0 518 587 233 25 0 0 0 0 369 584 257 30 0 0 0 0 371 584 210 30
1413747337 29887 0 0 0 0 518 586 234 30 0 0 0 0 357 584 263 30 0 0 0 0 381 582 200 30
1413747338 30891 0 0 0 0 527 587 233 25 0 0 0 0 358 584 265 25 0 0 0 0 385 583 198 30
1413747339 31936 0 0 0 0 527 587 233 25 0 0 0 0 358 584 265 25 0 0 0 0 385 583 198 30
1413747340 32938 0 0 0 0 522 587 236 30 0 0 0 0 374 583 259 30 0 0 0 0 402 584 197 30
1413747341 33946 0 0 0 0 519 587 236 25 0 0 0 0 387 584 247 30 0 0 0 0 410 583 178 30
1413747342 34952 0 0 0 0 513 586 242 30 0 0 0 0 358 583 268 30 0 0 0 0 417 584 171 30
1413747343 35963 0 0 0 0 527 587 254 25 0 0 0 0 371 585 276 30 0 0 0 0 395 583 200 30
1413747345 37387 0 0 0 0 527 587 254 25 0 0 0 0 371 585 276 30 0 0 0 0 395 583 200 30
