1413747310 utime AM_vel(rpm) AM_supV(dV) AM_supI(dA)
1413747310 mins   0          -37624       0   
1413747310 maxs   37624       37624      37624    
1413747310 attr   N             N         N     
1413747310 2782 -18192 -18703 -19072
1413747311 3033 -18192 -18703 -19072
1413747311 3287 -18192 -18703 -19072
1413747311 3541 -18192 -18703 -19072
1413747311 3793 -18192 -18703 -19072
1413747312 4045 -18192 -18703 -19072
1413747312 4297 -18192 -18703 -19072
1413747312 4552 -18192 -18703 -19072
1413747312 4804 -18192 -18703 -19072
1413747313 5059 -18192 -18703 -19072
1413747313 5314 -18192 -18703 -19072
1413747313 5567 -18192 -18703 -19072
1413747313 5823 -18192 -18703 -19072
1413747314 6074 -18192 -18703 -19072
1413747314 6326 -18192 -18703 -19072
1413747314 6582 -18192 -18703 -19072
1413747314 6835 -18192 -18703 -19072
1413747315 7089 -18192 -18703 -19072
1413747315 7343 -18192 -18703 -19072
1413747315 7594 -18192 -18703 -19072
1413747315 7851 -18192 -18703 -19072
1413747316 8103 -18192 -18703 -19072
1413747316 8360 -18192 -18703 -19072
1413747316 8612 -18192 -18703 -19072
1413747316 8866 -18192 -18703 -19072
1413747317 9117 -18192 -18703 -19072
1413747317 9371 -18192 -18703 -19072
1413747317 9625 -18192 -18703 -19072
1413747317 9879 -18192 -18703 -19072
1413747318 10134 -18192 -18703 -19072
1413747318 10389 -18192 -18703 -19072
1413747318 10644 -18192 -18703 -19072
1413747318 10898 -18192 -18703 -19072
1413747319 11149 -18192 -18703 -19072
1413747319 11400 -18192 -18703 -19072
1413747319 11653 -18192 -18703 -19072
1413747319 11906 -18192 -18703 -19072
1413747320 12160 -18192 -18703 -19072
1413747320 12413 -18192 -18703 -19072
1413747320 12668 -18192 -18703 -19072
1413747320 12923 -18192 -18703 -19072
1413747321 13178 -18192 -18703 -19072
1413747321 13430 -18192 -18703 -19072
1413747321 13684 -18192 -18703 -19072
1413747321 13937 -18192 -18703 -19072
1413747322 14190 -18192 -18703 -19072
1413747322 14443 -18192 -18703 -19072
1413747322 14694 -18192 -18703 -19072
1413747322 14945 -18192 -18703 -19072
1413747323 15199 -18192 -18703 -19072
1413747323 15453 -18192 -18703 -19072
1413747323 15708 -18192 -18703 -19072
1413747323 15959 -18192 -18703 -19072
1413747324 16212 -18192 -18703 -19072
1413747324 16463 -18192 -18703 -19072
1413747324 16717 -18192 -18703 -19072
1413747324 16970 -18192 -18703 -19072
1413747325 17223 -18192 -18703 -19072
1413747325 17477 -18192 -18703 -19072
1413747325 17729 -18192 -18703 -19072
1413747325 17983 -18192 -18703 -19072
1413747326 18236 -18192 -18703 -19072
1413747326 18490 -18192 -18703 -19072
1413747326 18744 -18192 -18703 -19072
1413747326 18995 -18192 -18703 -19072
1413747327 19246 -18192 -18703 -19072
1413747327 19500 -18192 -18703 -19072
1413747327 19751 -18192 -18703 -19072
1413747328 20005 -18192 -18703 -19072
1413747328 20260 -18192 -18703 -19072
1413747328 20511 -18192 -18703 -19072
1413747328 20764 -18192 -18703 -19072
1413747329 21019 -18192 -18703 -19072
1413747329 21271 -18192 -18703 -19072
1413747329 21522 -18192 -18703 -19072
1413747329 21773 -18192 -18703 -19072
1413747330 22026 -18192 -18703 -19072
1413747330 22278 -18192 -18703 -19072
1413747330 22530 -18192 -18703 -19072
1413747330 22781 -18192 -18703 -19072
1413747331 23034 -18192 -18703 -19072
1413747331 23286 -18192 -18703 -19072
1413747331 23539 -18192 -18703 -19072
1413747331 23791 -18192 -18703 -19072
1413747332 24042 -18192 -18703 -19072
1413747332 24300 -18192 -18703 -19072
1413747332 24552 -18192 -18703 -19072
1413747332 24807 -18192 -18703 -19072
1413747333 25062 -18192 -18703 -19072
1413747333 25316 -18192 -18703 -19072
1413747333 25569 -18192 -18703 -19072
1413747333 25820 -18192 -18703 -19072
1413747334 26073 -18192 -18703 -19072
1413747334 26325 -18192 -18703 -19072
1413747334 26577 -18192 -18703 -19072
1413747334 26832 -18192 -18703 -19072
1413747335 27084 -18192 -18703 -19072
1413747335 27338 -18192 -18703 -19072
1413747335 27589 -18192 -18703 -19072
1413747335 27843 -18192 -18703 -19072
1413747336 28100 -18192 -18703 -19072
1413747336 28354 -18192 -18703 -19072
1413747336 28609 -18192 -18703 -19072
1413747336 28861 -18192 -18703 -19072
1413747337 29116 -18192 -18703 -19072
1413747337 29368 -18192 -18703 -19072
1413747337 29623 -18192 -18703 -19072
1413747337 29876 -18192 -18703 -19072
1413747338 30130 -18192 -18703 -19072
1413747338 30386 -18192 -18703 -19072
1413747338 30641 -18192 -18703 -19072
1413747338 30900 -18192 -18703 -19072
1413747339 31153 -18192 -18703 -19072
1413747339 31408 -18192 -18703 -19072
1413747339 31936 -18192 -18703 -19072
1413747340 32195 -18192 -18703 -19072
1413747340 32446 -18192 -18703 -19072
1413747340 32700 -18192 -18703 -19072
1413747340 32952 -18192 -18703 -19072
1413747341 33204 -18192 -18703 -19072
1413747341 33457 -18192 -18703 -19072
1413747341 33711 -18192 -18703 -19072
1413747341 33972 -18192 -18703 -19072
1413747342 34226 -18192 -18703 -19072
1413747342 34483 -18192 -18703 -19072
1413747342 34734 -18192 -18703 -19072
1413747342 34991 -18192 -18703 -19072
1413747343 35247 -18192 -18703 -19072
1413747343 35500 -18192 -18703 -19072
1413747343 35754 -18192 -18703 -19072
1413747345 37387 -18192 -18703 -19072
1413747345 37644 -18192 -18703 -19072
1413747345 37901 -18192 -18703 -19072
1413747346 38157 -18192 -18703 -19072
1413747346 38408 -18192 -18703 -19072
1413747346 38659 -18192 -18703 -19072
1413747346 38916 -18192 -18703 -19072
1413747347 39173 -18192 -18703 -19072
1413747347 39426 -18192 -18703 -19072
1413747347 39681 -18192 -18703 -19072
1413747347 39936 -18192 -18703 -19072
1413747348 40194 -18192 -18703 -19072
1413747348 40447 -18192 -18703 -19072
1413747348 40701 -18192 -18703 -19072
1413747348 40952 -18192 -18703 -19072
1413747349 41207 -18192 -18703 -19072
1413747349 41458 -18192 -18703 -19072
1413747349 41709 -18192 -18703 -19072
1413747349 41965 -18192 -18703 -19072
1413747350 42219 -18192 -18703 -19072
1413747350 42474 -18192 -18703 -19072
1413747350 42729 -18192 -18703 -19072
1413747350 42986 -18192 -18703 -19072
1413747351 43237 -18192 -18703 -19072
1413747351 43492 -18192 -18703 -19072
1413747351 43745 -18192 -18703 -19072
1413747351 43999 -18192 -18703 -19072
1413747352 44251 -18192 -18703 -19072
1413747352 44503 -18192 -18703 -19072
1413747352 44756 -18192 -18703 -19072
1413747353 45013 -18192 -18703 -19072
1413747353 45269 -18192 -18703 -19072
1413747353 45526 -18192 -18703 -19072
1413747353 45778 -18192 -18703 -19072
1413747354 46033 -18192 -18703 -19072
1413747354 46284 -18192 -18703 -19072
1413747354 46546 -18192 -18703 -19072
1413747354 46799 -18192 -18703 -19072
1413747355 47051 -18192 -18703 -19072
1413747355 47307 -18192 -18703 -19072
1413747355 47563 -18192 -18703 -19072
1413747355 47816 -18192 -18703 -19072
1413747356 48070 -18192 -18703 -19072
1413747356 48322 -18192 -18703 -19072
1413747356 48578 -18192 -18703 -19072
1413747356 48832 -18192 -18703 -19072
1413747357 49087 -18192 -18703 -19072
1413747357 49338 -18192 -18703 -19072
1413747357 49592 -18192 -18703 -19072
1413747357 49843 -18192 -18703 -19072
1413747358 50096 -18192 -18703 -19072
1413747358 50349 -18192 -18703 -19072
1413747358 50604 -18192 -18703 -19072
1413747358 50861 -18192 -18703 -19072
1413747359 51114 -18192 -18703 -19072
1413747359 51368 -18192 -18703 -19072
1413747359 51621 -18192 -18703 -19072
1413747359 51875 -18192 -18703 -19072
1413747360 52131 -18192 -18703 -19072
1413747360 52384 -18192 -18703 -19072
1413747360 52642 -18192 -18703 -19072
1413747360 52895 -18192 -18703 -19072
1413747361 53151 -18192 -18703 -19072
1413747361 53407 -18192 -18703 -19072
1413747361 53659 -18192 -18703 -19072
1413747361 53914 -18192 -18703 -19072
1413747362 54168 -18192 -18703 -19072
1413747362 54423 -18192 -18703 -19072
1413747362 54678 -18192 -18703 -19072
1413747362 54929 -18192 -18703 -19072
1413747363 55185 -18192 -18703 -19072
1413747363 55439 -18192 -18703 -19072
1413747363 55693 -18192 -18703 -19072
1413747363 55951 -18192 -18703 -19072
1413747364 56207 -18192 -18703 -19072
1413747364 56459 -18192 -18703 -19072
1413747364 56716 -18192 -18703 -19072
1413747364 56977 -18192 -18703 -19072
1413747365 57228 -18192 -18703 -19072
1413747365 57482 -18192 -18703 -19072
1413747365 57736 -18192 -18703 -19072
1413747365 57994 -18192 -18703 -19072
1413747366 58250 -18192 -18703 -19072
1413747366 58504 -18192 -18703 -19072
1413747366 58758 -18192 -18703 -19072
1413747367 59010 -18192 -18703 -19072
