Timestamp,	LIGHT,	ORIENTATION_X,	ORIENTATION_Y,	ORIENTATION_Z,	GPS_LAT,	GPS_LONG,	
1511048648,	161,	-11,	-171,	966,	3007.81,	9738.25,	
1511048649,	162,	-14,	-172,	965,	3007.81,	9738.24,	
1511048650,	162,	-13,	-170,	964,	3007.81,	9738.24,	
1511049056,	160,	-11,	-173,	965,	3008.16,	9738.13,	
1511049057,	161,	-13,	-173,	966,	3008.16,	9738.13,	
1511049059,	161,	-14,	-172,	965,	3008.13,	9738.12,	
1511049060,	158,	-12,	-171,	965,	3008.12,	9738.13,	
1511049062,	158,	-10,	-171,	966,	3008.12,	9738.15,	
1511049063,	160,	-12,	-172,	962,	3008.12,	9738.16,	
1511049065,	162,	-12,	-171,	967,	3008.13,	9738.19,	
1511049066,	161,	-14,	-172,	965,	3008.14,	9738.19,	
1511049068,	160,	-11,	-173,	962,	3008.16,	9738.21,	
1511049069,	159,	-12,	-169,	966,	3008.17,	9738.21,	
1511049071,	159,	-14,	-172,	963,	3008.19,	9738.23,	
1511049072,	161,	-13,	-173,	962,	3008.19,	9738.24,	
1511049074,	162,	-12,	-173,	965,	3008.19,	9738.27,	
1511049075,	161,	-12,	-173,	962,	3008.19,	9738.27,	
1511049077,	160,	-12,	-173,	966,	3008.17,	9738.27,	
1511049078,	160,	-10,	-171,	963,	3008.17,	9738.26,	
1511049080,	162,	-10,	-173,	962,	3008.15,	9738.25,	
1511049081,	162,	-11,	-173,	967,	3008.14,	9738.24,	
1511049083,	159,	-10,	-172,	964,	3008.13,	9738.23,	
1511049084,	160,	-14,	-172,	965,	3008.12,	9738.22,	
1511049086,	164,	-12,	-173,	965,	3008.1,	9738.21,	
1511049087,	161,	-11,	-172,	964,	3008.08,	9738.21,	
1511049089,	163,	-11,	-174,	963,	3008.06,	9738.21,	
1511049090,	164,	-14,	-171,	964,	3008.05,	9738.21,	
1511049092,	160,	-11,	-171,	968,	3008.04,	9738.23,	
1511049093,	162,	-12,	-175,	966,	3008.03,	9738.24,	
1511049095,	171,	-13,	-173,	968,	3008.01,	9738.27,	
1511049096,	162,	-14,	-172,	967,	3008.01,	9738.28,	
1511049098,	163,	-14,	-174,	964,	3008.01,	9738.31,	
1511049099,	165,	-13,	-173,	965,	3008.01,	9738.32,	
1511049101,	159,	-12,	-172,	965,	3008.02,	9738.34,	
1511049102,	162,	-12,	-172,	966,	3008.02,	9738.34,	
1511049104,	162,	-11,	-171,	964,	3008.05,	9738.37,	
1511049105,	161,	-12,	-171,	966,	3008.05,	9738.37,	
1511049107,	161,	-12,	-173,	966,	3008.08,	9738.4,	
1511049108,	160,	-14,	-171,	965,	3008.1,	9738.41,	
1511049110,	159,	-11,	-172,	966,	3008.11,	9738.42,	
1511049111,	159,	-11,	-172,	967,	3008.12,	9738.43,	
1511049113,	160,	-11,	-171,	966,	3008.13,	9738.46,	
1511049114,	160,	-14,	-169,	968,	3008.13,	9738.47,	
1511049116,	163,	-12,	-172,	964,	3008.12,	9738.5,	
1511049117,	162,	-12,	-171,	967,	3008.12,	9738.52,	
1511049119,	159,	-13,	-173,	966,	3008.11,	9738.54,	
1511049120,	159,	-14,	-173,	967,	3008.1,	9738.56,	
1511049122,	160,	-10,	-172,	965,	3008.09,	9738.58,	
1511049123,	161,	-12,	-172,	963,	3008.09,	9738.58,	
1511049125,	161,	-12,	-174,	966,	3008.07,	9738.6,	
1511049126,	159,	-12,	-170,	965,	3008.07,	9738.61,	
1511049128,	158,	-11,	-171,	966,	3008.05,	9738.6,	
1511049129,	159,	-9,	-170,	965,	3008.05,	9738.59,	
1511049131,	160,	-12,	-170,	967,	3008.04,	9738.57,	
1511049132,	161,	-13,	-170,	967,	3008.03,	9738.57,	
1511049134,	159,	-11,	-169,	966,	3008.02,	9738.54,	
1511049135,	158,	-10,	-168,	966,	3008.01,	9738.53,	
1511049137,	159,	-13,	-169,	965,	3007.99,	9738.51,	
1511049138,	160,	-10,	-167,	967,	3007.98,	9738.49,	
1511049140,	161,	-10,	-170,	966,	3007.97,	9738.47,	
1511049141,	161,	-12,	-168,	966,	3007.96,	9738.46,	
1511049143,	159,	-9,	-169,	965,	3007.94,	9738.43,	
1511049144,	158,	-10,	-167,	968,	3007.93,	9738.43,	
1511049146,	158,	-12,	-169,	966,	3007.92,	9738.4,	
1511049147,	158,	-10,	-167,	966,	3007.91,	9738.39,	
1511049149,	160,	-11,	-168,	969,	3007.89,	9738.36,	
1511049150,	161,	-11,	-170,	966,	3007.88,	9738.35,	
1511049152,	161,	-12,	-170,	964,	3007.86,	9738.31,	
1511049153,	160,	-10,	-169,	966,	3007.85,	9738.31,	
1511049155,	159,	-12,	-168,	967,	3007.84,	9738.28,	
1511049156,	158,	-12,	-166,	965,	3007.83,	9738.27,	
1511049158,	158,	-14,	-168,	969,	3007.81,	9738.25,	
1511049159,	159,	-9,	-168,	966,	3007.81,	9738.24,	
1511049161,	159,	-11,	-165,	966,	3007.8,	9738.23,	
1511049162,	160,	-13,	-168,	966,	3007.8,	9738.22,	
1511049164,	161,	-10,	-169,	968,	3007.8,	9738.21,	
1511049165,	161,	-11,	-168,	968,	3007.8,	9738.21,	
1511049167,	160,	-14,	-170,	969,	3007.8,	9738.2,	
1511049168,	160,	-12,	-171,	966,	3007.81,	9738.2,	
1511049170,	158,	-12,	-171,	965,	3007.82,	9738.21,	
1511049171,	158,	-13,	-171,	966,	3007.82,	9738.21,	
1511049173,	159,	-13,	-171,	966,	3007.85,	9738.22,	
1511049174,	159,	-12,	-172,	964,	3007.87,	9738.23,	
1511049176,	160,	-13,	-173,	966,	3007.89,	9738.24,	
1511049177,	161,	-11,	-172,	966,	3007.91,	9738.24,	
1511049179,	160,	-13,	-172,	963,	3007.94,	9738.23,	
1511049180,	160,	-10,	-172,	966,	3007.95,	9738.22,	
1511049182,	159,	-9,	-172,	964,	3007.97,	9738.19,	
1511049183,	158,	-13,	-171,	964,	3007.98,	9738.18,	
1511049185,	158,	-13,	-173,	962,	3007.99,	9738.16,	
1511049186,	159,	-9,	-171,	965,	3008,	9738.14,	
1511049188,	160,	-13,	-170,	968,	3008.01,	9738.12,	
1511049189,	160,	-10,	-171,	966,	3008.02,	9738.11,	
1511049191,	160,	-10,	-169,	964,	3008.03,	9738.09,	
1511049192,	159,	-11,	-170,	966,	3008.04,	9738.09,	
1511049194,	158,	-12,	-170,	966,	3008.06,	9738.07,	
1511049195,	158,	-11,	-169,	967,	3008.07,	9738.06,	
1511049197,	160,	-11,	-168,	966,	3008.08,	9738.04,	
1511049198,	161,	-12,	-168,	966,	3008.09,	9738.03,	
1511049200,	161,	-10,	-169,	966,	3008.12,	9738.02,	
1511049201,	159,	-10,	-167,	966,	3008.13,	9738.01,	
1511049203,	158,	-10,	-169,	964,	3008.15,	9738,	
1511049204,	158,	-13,	-168,	965,	3008.16,	9737.99,	
1511049206,	160,	-10,	-170,	968,	3008.17,	9737.97,	
1511049207,	160,	-12,	-172,	965,	3008.17,	9737.95,	
1511049209,	158,	-13,	-170,	966,	3008.17,	9737.92,	
1511049210,	158,	-11,	-168,	967,	3008.17,	9737.92,	
1511049212,	159,	-18,	-168,	970,	3008.16,	9737.89,	
1511049213,	160,	-11,	-172,	967,	3008.15,	9737.88,	
